Entry_date_time,Future_price,Transaction_Type,Strike,Type_of_Strike,Days_to_expiry,CE_symbol,CE_entry_price,CE_exit_price,CE_exit_datetime,CE_pnl,PE_symbol,PE_entry_price,PE_exit_price,PE_exit_datetime,PE_pnl,Total_pnl
2019-01-14 10:30:00,27343.0,Buy,27800,OTM,3,BANKNIFTY17JAN1927800CE.NFO,29.0,24.5,2019-01-14 15:20:00,-4.5,BANKNIFTY17JAN1927800PE.NFO,528.0,517.15,2019-01-14 15:20:00,-10.850000000000023,-15.350000000000023
2019-01-15 10:30:00,27467.0,Sell,27500,ATM,2,BANKNIFTY17JAN1927500CE.NFO,100.9,112.0,2019-01-15 15:20:00,-11.099999999999994,BANKNIFTY17JAN1927500PE.NFO,186.6,153.35,2019-01-15 15:20:00,33.25,22.150000000000006
2019-01-15 10:30:00,27467.0,Buy,27000,ITM,2,BANKNIFTY17JAN1927000CE.NFO,425.65,459.85,2019-01-15 15:20:00,34.200000000000045,BANKNIFTY17JAN1927000PE.NFO,23.7,18.8,2019-01-15 11:20:00,-4.899999999999999,29.300000000000047
2019-01-15 10:30:00,27467.0,Buy,28000,OTM,2,BANKNIFTY17JAN1928000CE.NFO,8.05,6.4,2019-01-15 14:37:00,-1.6500000000000004,BANKNIFTY17JAN1928000PE.NFO,587.4,549.0,2019-01-15 15:20:00,-38.39999999999998,-40.049999999999976
2019-01-16 10:30:00,27604.0,Sell,27600,ATM,1,BANKNIFTY17JAN1927600CE.NFO,70.7,41.5,2019-01-16 15:20:00,29.200000000000003,BANKNIFTY17JAN1927600PE.NFO,148.0,159.9,2019-01-16 15:20:00,-11.900000000000006,17.299999999999997
2019-01-16 10:30:00,27604.0,Buy,27000,ITM,1,BANKNIFTY17JAN1927000CE.NFO,511.45,471.0,2019-01-16 15:20:00,-40.44999999999999,BANKNIFTY17JAN1927000PE.NFO,6.3,5.0,2019-01-16 12:39:00,-1.2999999999999998,-41.749999999999986
2019-01-16 10:30:00,27604.0,Buy,28200,OTM,1,BANKNIFTY17JAN1928200CE.NFO,1.1,0.85,2019-01-16 13:02:00,-0.2500000000000001,BANKNIFTY17JAN1928200PE.NFO,663.75,651.55,2019-01-16 15:20:00,-12.200000000000045,-12.450000000000045
2019-01-17 10:30:00,27558.25,Sell,27600,ATM,0,BANKNIFTY17JAN1927600CE.NFO,15.55,0.1,2019-01-17 15:20:00,15.450000000000001,BANKNIFTY17JAN1927600PE.NFO,121.5,145.8,2019-01-17 12:01:00,-24.30000000000001,-8.85000000000001
2019-01-17 10:30:00,27558.25,Buy,27000,ITM,0,BANKNIFTY17JAN1927000CE.NFO,473.5,369.85,2019-01-17 13:16:00,-103.64999999999998,BANKNIFTY17JAN1927000PE.NFO,0.35,0.25,2019-01-17 11:05:00,-0.09999999999999998,-103.74999999999997
2019-01-17 10:30:00,27558.25,Buy,28200,OTM,0,BANKNIFTY17JAN1928200CE.NFO,0.05,0.05,2019-01-17 15:20:00,0.0,BANKNIFTY17JAN1928200PE.NFO,695.0,620.6,2019-01-17 15:20:00,-74.39999999999998,-74.39999999999998
2019-01-18 10:30:00,27541.1,Sell,27500,ATM,6,BANKNIFTY24JAN1927500CE.NFO,197.2,192.8,2019-01-18 15:20:00,4.399999999999977,BANKNIFTY24JAN1927500PE.NFO,193.55,177.0,2019-01-18 15:20:00,16.55000000000001,20.94999999999999
2019-01-18 10:30:00,27541.1,Buy,27000,ITM,6,BANKNIFTY24JAN1927000CE.NFO,540.0,540.0,2019-01-18 15:20:00,0.0,BANKNIFTY24JAN1927000PE.NFO,44.3,35.25,2019-01-18 10:49:00,-9.049999999999997,-9.049999999999997
2019-01-18 10:30:00,27541.1,Buy,28000,OTM,6,BANKNIFTY24JAN1928000CE.NFO,34.35,34.05,2019-01-18 15:20:00,-0.30000000000000426,BANKNIFTY24JAN1928000PE.NFO,515.0,512.0,2019-01-18 15:20:00,-3.0,-3.3000000000000043
2019-01-21 10:30:00,27613.7,Sell,27600,ATM,3,BANKNIFTY24JAN1927600CE.NFO,168.6,143.15,2019-01-21 15:20:00,25.44999999999999,BANKNIFTY24JAN1927600PE.NFO,184.3,196.9,2019-01-21 15:20:00,-12.599999999999994,12.849999999999994
